genes	endo03_FC	endo03_FDR	endo06_FC	endo06_FDR	endo09_FC	endo09_FDR	endo12_FC	endo12_FDR	endo15_FC	endo15_FDR	endo18_FC	endo18_FDR	ovary03_FC	ovary03_FDR	ovary06_FC	ovary06_FDR	ovary09_FC	ovary09_FDR	ovary12_FC	ovary12_FDR	ovary15_FC	ovary15_FDR	ovary18_FC	ovary18_FDR	ovid03_FC	ovid03_FDR	ovid06_FC	ovid06_FDR	ovid09_FC	ovid09_FDR	ovid12_FC	ovid12_FDR	ovid15_FC	ovid15_FDR	ovid18_FC	ovid18_FDR	absMAX_FC	FC_sample	Min_FDR	FDR_sample
ENSSSCG00000002456	-2.45957037193525	0.264530870462728	-3.64415398824848	0.00423148510085882	-5.30333524655507	1.96225646091061e-05	-2.40507414293251	0.0821708482243323	-0.065634487806934	0.999107661984216	0.256157757442049	0.999963438149354	-0.251140746435198	0.999746826372654	-1.29948195472602	0.5713613679743	-1.68554626717861	0.317592519279409	-3.75859239964252	0.00146771322781957	-1.99489602103771	0.156971121154725	-0.725430325920715	0.999898616998068	0.85994859672601	0.999905160632868	1.44796550846041	0.800355390752224	1.12707354659849	0.999815075630288	1.51597406918211	0.547730545254649	3.05215895553417	0.0336235496097253	0.0321704625026576	0.999918096269946	5.30333524655507	endo09	1.96225646091061e-05	endo09
ENSSSCG00000002479	-3.98612658876183	0.00896978301877409	-5.04882444275224	0.000135079241192228	-7.91580444957686	4.9070930777526e-07	-0.127541904485787	0.990891812137714	2.77650742799847	0.0378597708529097	1.18335794541335	0.999963438149354	0	0	0	0	0	0	0	0	0	0	0	0	-3.8038011132921	0.00580401303434866	-3.81443671997765	0.00551603283562917	-3.0289748844066	0.0354044055002955	-2.30189313830824	0.145291023002033	-0.940076490239423	0.999951635344029	-3.0085709867564	0.128816990039767	7.91580444957686	endo09	0	ovary03
ENSSSCG00000002737	0	0	0	0	0	0	0	0	0	0	0	0	8.26353035927016	0.000554928299281471	8.34507652556439	0.000361458424455387	8.82109053098808	5.02119909409895e-05	9.05136564533452	1.64215031810586e-05	8.10307248291013	0.000455641203076492	0	0	0	0	7.47483650044798	0.0103153530653397	8.68119964133335	0.000347348324465548	0	0	0	0	0	0	9.05136564533452	ovary12	0	endo03
ENSSSCG00000002777	-0.000997460321667873	0.999970279305184	4.02342530297747	0.00121705113125129	3.059236243027	0.0160256715579901	2.09044069672437	0.158391301432336	-0.954701105496208	0.845486869386107	-2.2223782683601	0.460198899914738	7.07280731212939	5.6396408997171e-08	4.04981928578931	0.00118014873779336	5.29793436109019	1.82789007983361e-05	6.00045247753299	9.3661894890923e-07	-1.34922669903031	0.554904097195595	-0.240915565546726	0.999898616998068	1.78838003939291	0.461118377192045	1.45585086601296	0.790841093194868	2.10130837288528	0.271769980488609	-0.375468141346475	0.999791955937091	-0.413106703579559	0.999951635344029	-1.19882257619354	0.999918096269946	7.07280731212939	ovary03	5.6396408997171e-08	ovary03
ENSSSCG00000002827	0.54180931132179	0.999970279305184	5.3099538787685	2.78907715536766e-05	5.65904315854546	6.97561052885084e-06	4.72502894473021	0.000168014379077392	1.58208535458055	0.4838527210503	-0.651077835173927	0.999963438149354	0	0	0	0	0	0	0	0	2.17272946304379	0.342637123325997	0	0	-1.56828970216786	0.687636010727252	-3.07642636205677	0.0441605007952201	-2.72697470049695	0.0892562994718446	-2.08460674979203	0.238861701238451	-1.81486499577165	0.585675656068345	-0.674370830063025	0.999918096269946	5.65904315854546	endo09	0	ovary03
ENSSSCG00000003044	-1.39652118578861	0.999970279305184	-0.254870211921732	0.999982221946195	-0.505347910320355	0.999890466505892	-0.170675791865131	0.986681766043777	-0.407766208871472	0.999107661984216	-0.0205167092229029	0.999963438149354	2.36957377445572	0.243082173229841	3.65321842412215	0.0120574894722628	4.15361039013315	0.00294460142881203	5.69813965943328	1.33901901035105e-05	3.53618098582022	0.010407821120725	0	0	1.24418788110083	0.999905160632868	0.695946865843203	0.99998075372639	1.45242548700178	0.856053749296249	1.29612821080251	0.81392488940711	2.04054022007182	0.497989826590518	0.336871704674446	0.999918096269946	5.69813965943328	ovary12	0	ovary18
ENSSSCG00000003047	0	0	0	0	0	0	0	0	8.48818200223279	1.12570981083465e-07	4.98559122529128	0.0223464506915951	0	0	0	0	0	0	0	0	5.89260549587036	1.3175014759057e-05	2.64361748153379	0.191861263698232	-0.0468527474206831	0.999905160632868	-7.59573441939322	0.0048194364747358	0.287280987349561	0.999991240463336	-2.52005427415977	0.256333707232691	-1.90414860903296	0.756879810281364	-1.8756353598671	0.999918096269946	8.48818200223279	endo15	0	endo03
ENSSSCG00000003048	0.00705347296417358	0.999970279305184	-3.66451775210292	0.00748496262324081	-10.4181777237221	6.11528736976729e-07	-3.95470685874469	0.00327223273292932	-2.8847419423817	0.0403997998385769	0.646196149741695	0.999963438149354	0	0	0	0	0	0	0	0	0	0	0	0	1.35304371534282	0.865278390595068	2.12166771268589	0.28741808456798	1.0606109120279	0.999991240463336	0.892240045138326	0.993809581767604	-0.0342120270850542	0.999951635344029	1.40957167160454	0.999918096269946	10.4181777237221	endo09	0	ovary03
ENSSSCG00000003053	0	0	0	0	0	0	0	0	0	0	0	0	8.938282210735	4.01950750217851e-09	7.66871900788244	2.0691072636536e-07	5.70815013427937	0.000147973845458455	5.43569665539088	0.000207237609270518	3.19393878379455	0.0865653142016483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.938282210735	ovary03	0	endo03
ENSSSCG00000003073	0	0	0	0	0	0	0	0	0	0	0	0	-5.46103814124678	0.000487871390327431	-4.89599673895544	0.000953603418490507	-9.4936600703971	2.44486170224716e-05	-9.52855422035992	1.16119187237787e-05	-5.52671383550653	0.000175180305226109	-4.74523631223821	0.00107793205975957	0	0	0	0	0	0	0	0	0	0	0	0	9.52855422035992	ovary12	0	endo03
ENSSSCG00000003080	-0.89298070022762	0.999970279305184	-1.37265436132518	0.9478062059224	-6.92128084605423	0.0168931570655006	-2.71531129149374	0.234032652192289	-1.87565689148005	0.52007852693663	4.21313115283828	0.00453821903680171	-1.53874451454278	0.624029993488056	-3.78820404836585	0.0308573120929004	-2.52777768198586	0.18192948531012	-2.03659034675379	0.256680866439863	6.69337995038221	9.03847573567334e-08	2.99505281622998	0.0273023415382357	-1.20607494944739	0.999905160632868	-2.01031879238278	0.414056550163352	-1.63404538862099	0.629049321384685	-2.36635811380519	0.160727033581266	-1.33401017297737	0.999951635344029	2.03313012429462	0.695534130503244	6.92128084605423	endo09	9.03847573567334e-08	ovary15
ENSSSCG00000003251	-0.164160642085558	0.999970279305184	0	0	-1.37189536936338	0.77882250723504	0	0	0.82318138763298	0.962721219449258	-0.679273933557543	0.999963438149354	0	0	0	0	0	0	0	0	5.52934261673357	1.67279221759688e-05	1.71730911741999	0.574429273038897	0	0	0	0	0	0	0	0	0	0	0	0	5.52934261673357	ovary15	0	endo06
ENSSSCG00000003417	-4.57292056714813	0.00118156012817748	-0.287128719518256	0.999982221946195	2.64027670002678	0.044286503292272	3.26239911710326	0.00963090027203069	-3.82855322673687	0.00255635770296182	-2.65794280750178	0.170785035960248	0	0	0	0	0	0	0	0	2.8341062017488	0.170412145585775	0	0	10.8288867383849	4.83972190577783e-07	8.88479628140317	0.000244238296328106	0	0	0	0	0	0	0	0	10.8288867383849	ovid03	0	ovary03
