,logFC,PValue,FDR
ENSSSCG00000002737,8.34507652556439,3.23973077937606e-06,0.000361458424455387
ENSSSCG00000053069,8.34507652556439,3.23973077937606e-06,0.000361458424455387
ENSSSCG00000001789,8.34507652556439,3.23973077937606e-06,0.000361458424455387
ENSSSCG00000061436,4.37726771615848,3.30869247564749e-06,0.000366801226360793
ENSSSCG00000015716,5.05295962286636,3.45922424900464e-06,0.000378955176072469
ENSSSCG00000011683,4.34990296252905,3.47859893862007e-06,0.000378955176072469
ENSSSCG00000026407,-4.37919716729993,3.48364425001983e-06,0.000378955176072469
ENSSSCG00000006143,4.37761088412138,3.55091309051023e-06,0.000382664773756233
ENSSSCG00000040725,-4.85931628790205,3.56171751499625e-06,0.000382664773756233
ENSSSCG00000040207,4.36135682078843,3.64659664524102e-06,0.000389380457732637
ENSSSCG00000008250,4.3648867218389,3.67063068700967e-06,0.000389556872606118
ENSSSCG00000025527,4.92982094725111,3.69812742224723e-06,0.000390096410813412
ENSSSCG00000025523,-4.47822434693943,3.77386640646228e-06,0.000395687619304072
ENSSSCG00000007073,4.34029471261612,3.95400779069652e-06,0.000412092847886664
ENSSSCG00000054318,8.26732047364423,4.32862297153665e-06,0.000448450492973783
ENSSSCG00000009896,4.31328001883581,4.41759756785765e-06,0.00045496027022818
ENSSSCG00000015144,4.28610115626497,4.55534369672055e-06,0.000465287594562886
ENSSSCG00000015487,4.42099157325391,4.58144434752067e-06,0.000465287594562886
ENSSSCG00000007373,4.31334805351762,4.62175019851708e-06,0.000465287594562886
ENSSSCG00000012773,4.31864842734243,4.62480631194365e-06,0.000465287594562886
ENSSSCG00000039199,4.33074400955397,5.06713022743127e-06,0.00050685862993357
ENSSSCG00000048195,-8.3766723377285,5.1637880320045e-06,0.000513575603983076
ENSSSCG00000014985,-4.31827784626169,5.52524101780632e-06,0.000544601243686867
ENSSSCG00000023791,4.2829269249889,5.53831773240881e-06,0.000544601243686867
ENSSSCG00000009616,-4.92961296765202,5.60289759953743e-06,0.000545949364246719
ENSSSCG00000035909,-5.85272069427034,5.61476220627192e-06,0.000545949364246719
ENSSSCG00000052385,5.33722791715947,5.65973335916788e-06,0.000547264772868427
ENSSSCG00000036109,8.18513371902126,5.8636787259652e-06,0.000563852642129416
ENSSSCG00000061213,-4.37710701208553,5.96931358048656e-06,0.000570856609166861
ENSSSCG00000005266,4.65929364554373,6.3119811983452e-06,0.000600328047853542
ENSSSCG00000057970,4.19994640964751,6.45895481100576e-06,0.000610967980899757
ENSSSCG00000010352,-8.30976481998794,6.58361836107327e-06,0.000619393932835029
ENSSSCG00000030300,-4.1947975038405,6.68350561658389e-06,0.000625410834713132
ENSSSCG00000015879,-4.40261028921049,6.9514592277379e-06,0.000647006138282236
ENSSSCG00000059476,4.43092944667692,7.00118136276824e-06,0.000648167880952028
ENSSSCG00000012167,-4.29920825127539,7.78285516812433e-06,0.000716722720641291
ENSSSCG00000036622,4.16305166457511,7.87863846232414e-06,0.000719578693032057
ENSSSCG00000002443,4.16882950939427,7.89655445958765e-06,0.000719578693032057
ENSSSCG00000006321,4.17429547523615,7.95814352460067e-06,0.000720920784417495
ENSSSCG00000020771,-4.14282938920971,7.99412303318452e-06,0.000720920784417495
ENSSSCG00000011441,-4.8352394824384,8.1253350934326e-06,0.000728976584026775
ENSSSCG00000012627,4.190708601273,8.17473621021559e-06,0.000729647608916935
ENSSSCG00000053832,-4.44419494459079,8.3510598746486e-06,0.000741582638358464
ENSSSCG00000046097,-8.23960280383388,8.47541201854737e-06,0.000744432784848852
ENSSSCG00000007061,4.46906427242344,8.47809115889375e-06,0.000744432784848852
ENSSSCG00000054929,4.41891576253812,8.51146935851316e-06,0.000744432784848852
ENSSSCG00000004713,4.15650593922006,9.38352207231342e-06,0.000816601008343075
