,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt,ovary00.txt,ovary03.txt,ovary06.txt,ovary09.txt,ovary12.txt,ovary15.txt,ovary18.txt,ovid00.txt,ovid03.txt,ovid06.txt,ovid09.txt,ovid12.txt,ovid15.txt,ovid18.txt
ENSSSCG00000006159,5.84272414919838,5.13184428717739,3.68537935222348,3.69838015013784,4.79766373152409,5.53411768897609,5.79145109447131,2.57759109880138,2.2500593768174,3.49984414251009,3.43454707709093,3.28904835411791,2.76589130343354,2.79868105539339,2.52127024939055,1.9821903386645,3.14131732157144,2.83427109244301,1.89259221241565,3.00405423706606,2.21903914816527
ENSSSCG00000005996,4.02517086975174,4.47139974473389,4.06935745120023,3.89583558907922,3.90362791619449,3.85273047467866,4.17851628311048,4.59494450013059,4.68490956354891,4.53942510675553,3.96324749209784,4.62267724560052,4.57974933208091,4.07369489666933,4.08877213617357,3.74857977071002,3.62212750451257,3.07115869933193,3.51182652680749,3.60948236567271,3.9367262840208
ENSSSCG00000034242,3.61307506451946,3.15200270815381,1.77868854089891,2.63136888531764,2.47876217609271,4.86408113963524,4.07464628354351,-1.83349136569545,-3.86610106456063,-3.86610106456063,-2.58861777685017,-3.86610106456064,-3.86610106456063,-1.88778706568341,1.77818268195035,2.57895172660405,3.26837255146936,2.82134104971779,2.76209264112683,2.53930444909082,2.26116821582548
ENSSSCG00000040180,4.38454876784157,4.82207608407256,6.44031076628132,7.21311637873867,5.46667357786454,4.69069659081034,5.0319200657919,4.51247499942088,4.91376273216952,5.49699039246845,5.05849039988577,6.0406409925272,4.70643113727373,4.23944173733836,4.35873746509137,4.97236216634451,4.5967380551214,4.16330475778468,4.92143284525132,4.42922775473702,4.62614061172357
ENSSSCG00000033669,4.81444589560551,5.26609910149939,5.08240523702437,6.2137830280203,5.75609357862863,6.86928392618,6.24026989306732,5.0551769790164,3.96888458351953,4.2293363349299,4.82243406867665,4.26667885502294,4.44333240403659,4.73616212062812,4.22466661433146,5.58048625133758,4.57140409166285,4.42925861289563,5.3117475280551,4.36261396893794,3.77530112195406
ENSSSCG00000005997,7.69918620707252,7.79907073631814,7.13397010893417,7.33350537255324,8.25572737140962,7.61928156263451,7.36999586570535,8.11917051518018,6.31850258016257,6.99229936479686,8.40792605977676,7.24990150150745,6.79727978181573,8.19651859914308,7.80702744311412,7.1587190172383,6.64747862317614,6.51734534401331,7.08487696701783,6.87678311413296,7.75751549567497
ENSSSCG00000006126,5.90997332773764,5.70485891747184,6.70341390972192,7.15121787505913,5.7949492324803,5.70163581789398,5.63093375812294,5.68693323378924,7.70069883323763,7.15812932993672,6.86220996097226,8.11636978947845,6.02772984107827,6.68188705213653,6.43084485520368,5.77923771458885,6.10270839495688,5.76751334971227,5.86405309248266,6.06099402222399,5.94646996494609
ENSSSCG00000032111,10.1807603458053,10.3718465511061,10.4930306594418,9.55470753930738,9.99589380551111,9.4567269102713,9.93217414714308,10.0980785734862,9.54227293962994,9.41188801221968,9.61845822010376,9.01479601818844,9.46352997562259,10.276910503731,10.2773753840475,9.73559939006382,9.96265798806481,10.2122291148644,10.2327488451192,10.2068629279902,10.2876432374293
ENSSSCG00000006140,4.93675500875267,3.7776290523297,1.84270354111667,0.670671016819687,5.56206265455263,5.60230122191286,5.50217594185869,0.460428916987752,3.92611372022276,3.28711800158911,2.87670977000225,3.55153808484028,3.05131279628323,0.060995383306492,4.90210486450016,3.75922526792082,2.33130172507855,2.93973493413961,3.63057246156031,3.25616255563239,4.24560554011535
ENSSSCG00000032228,2.45504258822124,1.95290656314567,1.50567721120727,0.101016123024281,0.9824011893824,1.63348973037127,2.37456744092376,-0.367236290239582,-0.140567499497489,-0.709840359819039,-0.234617467666029,0.501166027370923,-1.1825468555349,-1.08355692642111,3.46767424461984,3.82825589157855,3.51610126488386,3.49822215954925,3.90857550355311,3.90446879301369,3.05516778714025
ENSSSCG00000006127,4.99422883699069,5.32364328734369,5.0269986422668,5.03642091386456,3.38295528354406,5.04790186901832,5.02686860239643,5.01317374187716,5.46376451771004,5.25480372574895,4.39690426731923,5.90745424346342,5.30649577501642,5.50690062464568,4.69538328824025,4.67540368014101,4.97485796393633,4.29774123363419,4.89713171872914,4.81922871128463,4.87024895219994
ENSSSCG00000006202,5.77956081093144,5.46290967980963,4.93748529311627,4.76605719179512,4.26935055525098,6.02610692562938,5.76135308217614,4.84776829224999,4.55291128018231,4.18081424060672,3.7958070563854,4.0329157400645,4.4918436811102,5.26609424614587,6.52161179751593,7.13949434120574,7.28121148324917,6.8564921595338,7.4310549211145,6.65940440350975,7.00343074399671
ENSSSCG00000006156,7.01429807346835,6.73324098004407,7.01329213393,7.08544127078565,7.34015555709078,7.96148564504754,7.69678265422889,4.39381917747876,5.32523874937464,5.292399805522,5.37431505824512,5.68459231541966,5.61210092422992,6.24000520297463,6.74714585525617,6.71731657486119,6.49558518075147,6.51984858465401,6.61116941106094,6.66569737901907,6.8076790969668
ENSSSCG00000021184,3.70888702200436,3.99850984091805,4.24781831675873,4.36440632285819,3.75774228125622,4.48299223122603,4.06482194987733,4.46940227359448,4.99015131460283,5.72560335431295,5.04147739833363,4.93889553305698,4.02898834878508,3.91561327440566,4.05269976924579,3.80789129043943,4.21496498395143,3.80121434567888,4.03868291875765,3.81670932491086,4.01267708342025
ENSSSCG00000024096,3.83693241006772,3.80757219477632,3.27174082993984,3.4376376933887,4.3757068961492,5.42870864097264,4.7440650475195,4.15432734074045,4.26616087766503,4.41646545846654,4.30366205692459,4.53291392967551,4.84545806227213,4.25983206378337,3.68355602389153,3.55444145172895,4.01202620761712,3.83377078362394,4.03274628789489,3.85245623366475,3.84621153390182
ENSSSCG00000049630,4.51986140242316,4.26147409422518,3.8250388093788,4.00251567848483,4.55645395304472,4.17328828444526,4.35817746322497,4.65687749247789,5.06269781412956,6.10701450696847,5.78151647107997,6.33430960458513,4.97567251455617,5.43922986456574,4.45630891022782,4.71786247547865,5.31290488841432,5.07461399873595,5.07230575766713,4.80257321530388,4.13099988557075
ENSSSCG00000006135,6.20047011525577,6.2387975886915,6.87739420099951,6.48531793879609,6.5259534419427,6.23886362130569,6.27477031223922,6.21472311851619,6.72424285216716,6.98392763824548,6.690725121276,6.82861110129628,6.15669481888839,6.38222221293086,6.27061840705579,6.2627788018488,6.53917331126245,6.30851470871297,6.27510809497436,6.28844038523121,6.22781307258251
ENSSSCG00000047247,1.26454073465417,2.61083516407387,1.65577666548173,0.732096466249619,0.105867572906713,1.48842084700256,0.902739542072081,1.51601270796834,1.16431828271167,0.977031595424886,0.129713666806775,0.453034334315276,1.60622203428362,0.565673173427877,0.717399784565846,0.337021985808651,0.928851099683312,0.279732302719128,1.08882800670001,0.876659935378217,1.35157401949225
ENSSSCG00000006001,6.70225138927537,5.46604223842652,5.22253346954224,4.79692860733488,5.51515634750054,5.65612934759038,6.00237301193123,6.76027171681182,4.52690751551335,4.73063561427844,4.67854320284325,5.19811080743438,4.90757062738953,3.97848019074587,7.83340139322753,7.81066574882652,8.29353679928236,8.31148455053165,8.02482673327946,7.14346978720976,6.94243463001939
ENSSSCG00000006160,2.29043358735012,-1.25115252254331,-1.39620640325986,0.468947494933268,0.659854055069499,-1.32783283730843,0.555210457631375,-0.367236290239582,-0.48081035207559,0.624726132802304,1.43593445788301,1.22907710793497,0.101601506450334,2.79169599814347,0.291657705279184,-2.88957437711886,-2.00527236359042,-3.86610106456063,-2.87759965410617,-2.42341393060187,-0.536566257489799
ENSSSCG00000006136,4.4517407562659,4.39675865399716,5.26870544599369,5.21242375930779,4.08892395505043,5.09599240961189,4.56920647169758,4.09291943253439,5.16893128830879,5.17033817650463,4.61958123178788,5.17418730877212,4.69404464014415,4.62855273991619,4.58606023869414,4.62002366795847,4.30774137517909,3.86875421287937,4.50748321907231,4.28625499052495,4.39970867804568
