genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000006116	0	0	0	3.41062211223144	4.86173107101906	5.26849317625566	0.989956803270756	0.482093904888746	1.93586819407841
ENSSSCG00000006141	0	0	0	0	0	0	-6.33182899795073	-4.55144800095538	-4.52714966133591
ENSSSCG00000006148	0	0	0	7.61981837940195	9.22440241446454	9.45518970208482	0	0	0
ENSSSCG00000006160	-3.70513728710317	-3.9133927079239	-1.83757784450332	-0.0614055149906416	1.10070842995501	1.91115270770741	-4.07015262454431	-2.67924490102833	-8.13112250659484
ENSSSCG00000006233	1.62719500442294	5.59511388573628	2.13747839968181	1.40824839439893	1.84339604186878	0.608141227601462	-0.447690674908547	0.77159889742414	-0.0711283225931213
ENSSSCG00000006243	3.76572753607505	5.23959348774481	7.01476971219421	-5.8723278104042	-7.56701598682678	-6.94747529209132	3.29618538637895	2.31623119632031	1.73684995014484
ENSSSCG00000006262	0	0	0	-9.25846637663872	-4.52214099948016	-3.24675935244513	1.66671913573975	1.63214243389117	0
ENSSSCG00000006264	0	0	0	0	0	0	-9.41635852183979	-5.51195207049878	-3.49482138609204
ENSSSCG00000006281	0	0	1.54094769656169	7.48927221717147	0	0	-0.110642243056489	0.228304603153147	-0.28838404135522
ENSSSCG00000006328	0	0	0	-8.64778075093654	-3.51004774570934	-3.61179196003362	-1.67492492034968	-1.08477247049875	-1.72181451031869
ENSSSCG00000006399	-0.996340045148865	-3.24536365523072	-7.82260592353715	0	0	0	0.835889350856019	-0.989656417707119	0.329647473246347
ENSSSCG00000006452	-1.9968704162115	-7.69536586514055	-1.499453057404	-3.21306621686915	2.34276296649322	1.77459903356739	0	0	0
ENSSSCG00000006614	0.411310167169011	4.5509890304161	5.32793657571933	0	0	0	-1.35337989556832	-2.0213071361669	-2.35918901276556
ENSSSCG00000006679	0	0	0	-5.09774512260929	-3.20923024848542	-3.87201814542741	0	0	0
ENSSSCG00000006719	-0.996340045148865	0.607085805842541	2.65020377009828	4.29371868433063	3.81466337004924	3.67302265509392	3.99963340013915	5.02482447924884	5.46170873856035
ENSSSCG00000006720	-0.715258003296833	0.862383973100775	1.37837780394863	5.16245068717175	4.8414378230902	4.90386450824345	1.08332337933396	1.14942121860852	1.23764411145284
ENSSSCG00000006749	0	0	7.49708031378069	0	0	0	0	0	0
ENSSSCG00000006791	-5.92737959755866	-6.12512943777589	-6.09921313788175	-0.441872348609248	-1.60363658291389	-3.90826082797818	-3.54818286407838	-5.88690717762888	-4.98602876335087
ENSSSCG00000006792	0	0	0	0	0	0	-3.59114176920108	-4.00410717227222	-10.6598940910082
ENSSSCG00000006796	-0.561291149866999	-7.24541576785203	-2.9886254588931	0	0	0	-0.572558065763616	-1.66454682832858	-2.35791882572535
ENSSSCG00000006836	-3.21133632211286	-2.31205829214919	-1.06240965506802	2.17743877425295	5.88915887480344	6.83951515655275	-2.33305739054018	-1.96427258419171	-1.01184594552944
ENSSSCG00000006842	-0.840508571796901	-7.63906072872508	-2.42253528695948	1.85589706634152	1.33535307547793	1.98991054718987	0	0	0
ENSSSCG00000006846	-2.7731656809457	-3.80198489382338	-7.82260592353715	-1.74938976759687	-1.48014254382084	-3.33017788195639	-0.0362224222149029	0.393936388167205	0.482120669557651
ENSSSCG00000006858	-0.204793605535874	-0.722618837353348	-0.213842575994063	1.92701734643302	5.44206123850854	2.16012873383048	-6.54138584704439	-3.47021146775459	-5.03426182590225
