,endo00.txt,endo03.txt,endo06.txt,endo09.txt,endo12.txt,endo15.txt,endo18.txt
ENSSSCG00000004869,5.63578992964934,4.79150659977046,6.65911903007856,6.4572680219884,4.94925805479787,4.70563520095895,5.27028348351607
ENSSSCG00000022419,5.26056537168015,5.21739905395422,5.63242179595402,5.96510245374189,5.70918296133526,5.86914866464526,5.73937194698563
ENSSSCG00000051962,-1.73305959377824,-3.85509885099552,-0.427549149249015,-0.420087792653085,-2.17942457204632,-2.52715409229601,0.313896575342012
ENSSSCG00000060555,0.0413052924789804,0.325995821617484,0.696234515074392,1.07308709343639,-0.737170786894267,0.511980159035315,1.27322802275298
ENSSSCG00000004961,4.67004084080217,4.1253449579467,2.71748672425073,3.36717576771223,3.70023423984528,4.03138950827289,3.96712083342358
ENSSSCG00000004962,3.60694211482321,4.19010322971796,3.22898867755978,3.12072977921992,3.55421439813712,4.39089612003104,3.5196481975202
ENSSSCG00000043563,4.2380765484195,4.45360393808899,3.94599782710707,3.59570132782116,2.76130103707164,4.2607873129915,3.89705019948033
ENSSSCG00000063237,0.334287195383221,-0.596587392817846,-0.638544342055856,-1.16513260578925,-0.0875027053344318,-0.202027340532984,-0.146833317401806
ENSSSCG00000063081,-0.451796759541231,-0.143741215401305,-0.494509844686864,0.0160013547616477,0.400867251557377,0.882458858679981,0.240342829521853
ENSSSCG00000056226,0.640312803779397,0.404032780710557,-0.494509844686864,0.0687877544725327,-1.57988285278292,0.0611401888903388,0.896025898727601
ENSSSCG00000049234,0.545338612590692,0.243495160761326,-0.0803167999044547,-0.038790024877544,0.441713397284419,0.0611401888903388,0.349313367968771
ENSSSCG00000019885,-2.09166049992806,-3.85509885099552,-3.85509885099552,-2.79118413099764,-3.85509885099552,-1.03915635639587,-2.93356607567977
ENSSSCG00000004870,7.95572840292426,7.97350558946149,9.23173409785617,8.69573737799955,8.8461379157429,8.82755982471438,8.25027340747084
ENSSSCG00000057267,-3.85509885099552,-3.85509885099552,-1.88135032864089,-1.43222365132196,-0.932128675682683,-1.52515410082389,-3.85509885099552
ENSSSCG00000039486,-1.32150410160565,-0.596587392817846,0.241104384926066,-0.494724564793083,1.31942665472603,-1.03915635639587,-2.37573725412848
ENSSSCG00000004973,7.0502944986827,6.96849467847027,6.2722142853284,6.54371752613723,4.95279484280019,6.86700612925365,6.71062254089768
ENSSSCG00000004847,4.71073036551291,5.30645156179781,4.81031709283462,4.72705861983813,2.54403942015565,4.54505423865094,5.31687237975328
ENSSSCG00000035696,4.16541893668392,4.41407453380222,4.59572038507287,4.53641611491611,3.82126134233017,3.80591706957379,4.25313251664098
ENSSSCG00000004849,2.46749776735557,2.39497393562178,2.37703996876028,2.51636847022765,2.41665080735592,0.283627690984842,1.9519671693274
ENSSSCG00000004850,1.63896978679228,1.28567170334254,0.199343854953986,-0.745040295063518,-0.737170786894267,-1.52515410082389,1.11760781784714
ENSSSCG00000004854,7.73433229176291,7.64280187178286,7.69218077009916,7.90977407143603,8.28556151234077,8.28016480722718,7.75168550238957
ENSSSCG00000004974,3.53048208276784,3.89137950848715,3.17075406836356,2.50683524148626,3.68330212713777,3.68233794424985,3.2560204976797
ENSSSCG00000004976,3.9811471300909,3.09914393904825,3.1868707763089,2.15062907137841,1.97689238663708,2.46767245226975,3.23250315488642
ENSSSCG00000036984,-0.588728039649234,3.18454093278465,2.19777733692583,0.307131135294732,0.917643838207009,-0.846332913133566,-2.37573725412848
ENSSSCG00000004980,5.73775111752271,6.14681755926289,4.40911278382387,5.43471685723529,4.6643956509482,4.73985154000853,5.46649889423546
ENSSSCG00000004875,7.93245889767974,7.45850247178979,9.08151953018542,9.06522984130542,8.30989722468048,7.62836360650218,7.5552609645714
ENSSSCG00000037781,2.36924904343966,2.53162272273596,2.45008064511642,2.04919779001223,2.24265106973285,2.6939665308749,2.46110378746832
ENSSSCG00000005781,0.174212963425815,1.68003111409656,2.82437589795459,3.92763680133596,2.98504983386127,1.89619547418535,0.202110156866571
ENSSSCG00000004979,4.43858075806273,4.16230390292208,4.09292598653525,4.77152527429686,5.02176859446927,5.63063444219502,5.05120494209062
ENSSSCG00000020859,-0.451796759541231,1.40434276753029,0.199343854953986,0.788360577816209,1.13247707301413,-0.939525551930105,-1.52638593326023
ENSSSCG00000004843,-1.90124673809572,-1.26027627843082,-3.85509885099552,-2.79118413099764,-1.42498151233131,-1.84758193371137,-1.40339105139968
ENSSSCG00000025616,4.7714402042366,4.5032027297496,4.67021892134153,4.8223686353298,4.39479860109682,4.50361256988264,4.46168957354601
ENSSSCG00000026486,-2.09166049992806,-1.03760312857376,-2.87254665422092,-2.18553084224111,-2.78653592437243,-2.85008322359316,-3.85509885099552
