genes,Min_FDR,Max_abs_logFC
ENSSSCG00000036851,3.52305686220932e-08,10.9670320923833
ENSSSCG00000031940,3.65668241313016e-08,7.39028496731282
ENSSSCG00000023852,3.67160976631624e-08,7.70956725156988
ENSSSCG00000008429,3.67160976631624e-08,6.83869846695246
ENSSSCG00000015049,3.76529190771622e-08,7.76511253987573
ENSSSCG00000039103,3.85844980213299e-08,10.9245290356919
ENSSSCG00000014091,3.87022625395798e-08,7.31698514837327
ENSSSCG00000021767,3.90816404306439e-08,7.65913029494878
ENSSSCG00000049557,4.35382867454741e-08,10.9935877566176
ENSSSCG00000008957,4.44478142493187e-08,11.2051594468186
ENSSSCG00000003599,4.46834122709694e-08,9.62506116661361
ENSSSCG00000009979,5.19406319601376e-08,11.2397832864485
ENSSSCG00000003753,5.38111734480139e-08,8.92155532799329
ENSSSCG00000017557,5.47500625611168e-08,7.9092974868228
ENSSSCG00000002777,5.6396408997171e-08,7.07280731212939
ENSSSCG00000031478,5.72222616087537e-08,11.1986161017851
ENSSSCG00000016555,5.73104410111135e-08,7.42553897959229
ENSSSCG00000022569,5.73683910068859e-08,6.94770548735339
ENSSSCG00000007995,6.02497339214179e-08,6.93644456540523
ENSSSCG00000031590,6.10357280441122e-08,7.01883689275227
ENSSSCG00000062552,6.66269461387458e-08,7.05278472146861
ENSSSCG00000001101,6.79962964821209e-08,11.0508297015264
ENSSSCG00000056178,6.94519910340738e-08,7.53377360221889
ENSSSCG00000057515,7.02633963841168e-08,10.9048623003034
ENSSSCG00000033493,7.409675984162e-08,6.96754809836133
ENSSSCG00000013378,7.46910225660115e-08,9.05286842199112
ENSSSCG00000035020,7.51469206367441e-08,10.9602167040636
ENSSSCG00000001726,7.52595358696227e-08,6.92614981233457
ENSSSCG00000001836,7.54327943009512e-08,7.05923932325526
ENSSSCG00000013835,7.55190086154845e-08,10.7477480885649
ENSSSCG00000008758,7.64539285657924e-08,6.96457073566303
ENSSSCG00000055762,8.19583534431685e-08,10.1174340434855
ENSSSCG00000061450,8.34677001907343e-08,10.7196135808616
ENSSSCG00000027320,8.47510863998245e-08,10.8134739202386
ENSSSCG00000011277,8.5578340381953e-08,7.88926485499868
ENSSSCG00000013934,8.5578340381953e-08,7.81875805626402
ENSSSCG00000059433,8.88133252606237e-08,7.25225178130466
ENSSSCG00000003080,9.03847573567334e-08,6.69337995038221
ENSSSCG00000010647,9.32395496818992e-08,7.19239802171213
ENSSSCG00000003894,9.36276511075458e-08,10.5917284545286
ENSSSCG00000020771,9.85706805813871e-08,8.2646083812489
ENSSSCG00000036907,9.96063298899429e-08,6.86630472321234
ENSSSCG00000024061,1.04893526134807e-07,7.70100173185969
ENSSSCG00000005203,1.09582813554474e-07,6.68542869108448
ENSSSCG00000003047,1.12570981083465e-07,8.48818200223279
ENSSSCG00000011837,1.15388939182815e-07,6.74356456970195
ENSSSCG00000034286,1.17607446809567e-07,10.8108056084325
ENSSSCG00000059721,1.21724473497921e-07,10.6089347763223
ENSSSCG00000010445,1.24249899284435e-07,7.04315386519104
