Gene_name,genes,logFC,PValue,FDR
,ENSSSCG00000051873,4.60577784527382,1.73503234329201e-06,0.000123548372916813
BMP4,ENSSSCG00000005045,4.52807015007947,1.73568212107685e-06,0.000123548372916813
,ENSSSCG00000033465,4.54757408375736,1.8091372802548e-06,0.000128259840997341
KBTBD13,ENSSSCG00000035667,-5.21095117065268,1.82283696891869e-06,0.000128714164049287
PRSS35,ENSSSCG00000004452,4.54772024829751,1.86444862740645e-06,0.000131127934739467
RAB9B,ENSSSCG00000032672,4.90907537633648,1.90028508406046e-06,0.000133117986463966
HAVCR2,ENSSSCG00000028875,4.55631597830697,1.90930258946478e-06,0.000133221022181114
TCN1,ENSSSCG00000039252,4.9444031207044,1.9952038172974e-06,0.000138666665302169
DMRTA1,ENSSSCG00000005131,-8.59607509052369,2.01137392729285e-06,0.000139242289954904
CD53,ENSSSCG00000006800,4.48914904269037,2.03528324550493e-06,0.000139856240364071
,ENSSSCG00000002623,-4.49217760461377,2.03608756435543e-06,0.000139856240364071
SPP1,ENSSSCG00000009216,4.47637349934659,2.05353382485881e-06,0.000140507878334234
PAX1,ENSSSCG00000007112,8.48372238173968,2.16080296495349e-06,0.00014727665922905
RUNX3,ENSSSCG00000032686,4.57445900884032,2.18620056293523e-06,0.000148434609759598
F2RL2,ENSSSCG00000037582,4.49930961249206,2.28674852376204e-06,0.000154666558199124
VAV1,ENSSSCG00000013553,4.47245142280616,2.30872087157031e-06,0.000155556677655842
CD69,ENSSSCG00000000653,5.14769356359026,2.35965347265442e-06,0.000158383888793797
DPP4,ENSSSCG00000015894,4.45386462633644,2.39241071536202e-06,0.000159974342266234
,ENSSSCG00000052237,8.44987100222793,2.45479243210992e-06,0.000163526229449194
TMEFF2,ENSSSCG00000016064,-5.12958968721319,2.52881383447639e-06,0.000167823874511322
GRIN2A,ENSSSCG00000031290,5.1263389674885,2.57141686715897e-06,0.000170012067250777
TNFSF9,ENSSSCG00000022370,4.61857189195302,2.65442376920287e-06,0.000174377672048611
,ENSSSCG00000003278,4.48739254178205,2.65720238945655e-06,0.000174377672048611
LYPD5,ENSSSCG00000003073,-5.52671383550653,2.67935661989743e-06,0.000175180305226109
MTTP,ENSSSCG00000009179,4.74811893601523,2.74984918366654e-06,0.000179125784646736
SPDEF,ENSSSCG00000036573,-8.50704570240679,2.80615008447909e-06,0.000182121203828343
SHAS2,ENSSSCG00000057079,4.41150809548303,2.83510320421513e-06,0.000183326288879156
TNFSF11,ENSSSCG00000052062,5.0937024510207,2.93167026033478e-06,0.000188878741261642
CCL3L1,ENSSSCG00000017700,4.90802463860609,2.94462456824855e-06,0.000189023481830152
XDH,ENSSSCG00000008522,4.48349477796749,3.02826991163134e-06,0.000193688582427638
SYN3,ENSSSCG00000040453,5.4920761372022,3.07079179978346e-06,0.000195699233363096
,ENSSSCG00000039956,4.83428777012365,3.11764320648693e-06,0.00019797034361192
,ENSSSCG00000045878,5.9978761076039,3.14048827769556e-06,0.000198706235004157
,ENSSSCG00000033457,4.41326824622412,3.16415475927427e-06,0.000199398782003542
TLR2,ENSSSCG00000009002,4.3887712467994,3.17402468379286e-06,0.000199398782003542
COL22A1,ENSSSCG00000005938,-4.61112830074073,3.36442811193905e-06,0.000210610813688157
,ENSSSCG00000043121,4.59554133358142,3.38114551373424e-06,0.000210909405490991
FAM78B,ENSSSCG00000006321,4.38303827448301,3.40402005324034e-06,0.000211588612675534
,ENSSSCG00000031476,4.42910812531849,3.45470722408585e-06,0.000213985777637851
