Gene_name,genes,logFC,PValue,FDR
ADM2,ENSSSCG00000059591,-5.5382799083728,1.82241201891922e-05,0.00213071305855295
CA12,ENSSSCG00000004565,-3.94408012685217,1.89996873093515e-05,0.00220733076107884
SLC26A3,ENSSSCG00000021813,7.97294107563217,2.0959340850887e-05,0.00240456037911802
,ENSSSCG00000051820,7.97294107563217,2.0959340850887e-05,0.00240456037911802
AQP9,ENSSSCG00000004597,3.91201058471994,2.30505842732259e-05,0.00262410170706639
ASPN,ENSSSCG00000008072,-3.89780256539923,2.31588841002808e-05,0.00262410170706639
,ENSSSCG00000042093,4.08861712762902,2.41821074017293e-05,0.0027232316777064
PON3,ENSSSCG00000029515,-3.88310563917835,2.49291436200203e-05,0.00276282081449205
,ENSSSCG00000043327,-7.78855287973243,2.49851958599739e-05,0.00276282081449205
TNFSF11,ENSSSCG00000052062,-7.78855287973243,2.49851958599739e-05,0.00276282081449205
,ENSSSCG00000060928,5.43854060987962,2.6552433537332e-05,0.00291854173659441
SLITRK2,ENSSSCG00000012724,-4.02270898035406,2.68929603842007e-05,0.00292765275690447
PLPPR5,ENSSSCG00000006876,-3.9828834311023,2.69543100848146e-05,0.00292765275690447
,ENSSSCG00000048301,-4.92757572751575,2.73584580642963e-05,0.00295406974251896
NR5A2,ENSSSCG00000024975,3.9756291313809,2.81636233083088e-05,0.00302322496752816
SLC17A4,ENSSSCG00000031944,-4.04851776568474,2.85163604310915e-05,0.00304329251205299
FGF7,ENSSSCG00000056997,-3.93028418554821,2.92360884711586e-05,0.00310206728310166
DRD1,ENSSSCG00000029037,-4.50632938922053,2.94844817111391e-05,0.00311044336948086
SLC22A16,ENSSSCG00000004399,-4.90253619050586,3.0063747102352e-05,0.00315342938177585
,ENSSSCG00000056047,-7.73223033135518,3.03709636894328e-05,0.00315368459971325
GJB7,ENSSSCG00000033562,-4.21326998478553,3.04097937540447e-05,0.00315368459971325
GRM7,ENSSSCG00000023891,-3.97717164388803,3.1162699021736e-05,0.00321360956878082
STK32A,ENSSSCG00000014418,-3.8530791854993,3.23226617336698e-05,0.00331460770269968
,ENSSSCG00000058139,7.83601166002517,3.35112565308814e-05,0.00341740347156033
,ENSSSCG00000043666,4.61216714931472,3.46338375907045e-05,0.00351236863433686
ST6GALNAC1,ENSSSCG00000017172,4.21068804993606,3.6188975562788e-05,0.00364991667818976
,ENSSSCG00000055799,-3.76073678086297,3.67176007557169e-05,0.0036829960626882
,ENSSSCG00000017448,4.03265077890454,4.19769477118001e-05,0.00418765680542284
RAB3C,ENSSSCG00000031796,-4.0880360266513,4.27011522185017e-05,0.00423687756823144
CLRN3,ENSSSCG00000010753,-3.74341239703199,4.30813686645846e-05,0.00425162152261889
MMP24,ENSSSCG00000040160,3.74161760519442,4.40520071512567e-05,0.00432416386774582
RGS7BP,ENSSSCG00000033581,-7.61252596538203,4.57305576596052e-05,0.00446505381063677
MFSD2A,ENSSSCG00000003669,-3.72603611965362,4.61640632409501e-05,0.00448353198333799
ZNF831,ENSSSCG00000007526,7.73692691122566,4.67719312615621e-05,0.00451866089598544
PAK5,ENSSSCG00000007061,-5.2698350199153,4.90470462159234e-05,0.00471365225308634
FBLN2,ENSSSCG00000011609,-3.66459826651195,5.3859730380323e-05,0.00511395871723382
STAC,ENSSSCG00000048318,3.69864569341326,5.41824869956833e-05,0.00511395871723382
,ENSSSCG00000009979,-4.74242249868319,5.46032510410275e-05,0.00511395871723382
MINAR1,ENSSSCG00000001775,-4.74242249868319,5.46032510410275e-05,0.00511395871723382
,ENSSSCG00000004179,-3.66428874451845,5.49237890799754e-05,0.00511395871723382
,ENSSSCG00000040330,7.6847099441958,5.5635634610527e-05,0.00511395871723382
,ENSSSCG00000052323,7.6847099441958,5.5635634610527e-05,0.00511395871723382
,ENSSSCG00000047946,7.6847099441958,5.5635634610527e-05,0.00511395871723382
MEI1,ENSSSCG00000034405,-3.77166596519871,5.5719750678076e-05,0.00511395871723382
HSPB3,ENSSSCG00000036059,-7.54873067267561,5.66951120376671e-05,0.00515195780476939
,ENSSSCG00000009281,-7.54873067267561,5.66951120376671e-05,0.00515195780476939
KCNG1,ENSSSCG00000007476,-3.65856332873614,5.82376423436597e-05,0.00526540023337975
DRP2,ENSSSCG00000012492,-3.71842645873743,5.85171958819715e-05,0.00526540023337975
CASQ2,ENSSSCG00000061647,-3.67738365173696,6.07505288449355e-05,0.00543158340450974
RHCG,ENSSSCG00000001841,4.3091150131155,6.10648789240924e-05,0.00543158340450974
ANPEP,ENSSSCG00000001849,-3.63142553422876,6.12517849604226e-05,0.00543158340450974
KRT17,ENSSSCG00000056910,-3.78410770378881,6.41349937399428e-05,0.00565991319754995
,ENSSSCG00000047372,7.6305318300273,6.65046328604423e-05,0.00575829736219943
,ENSSSCG00000054103,7.6305318300273,6.65046328604423e-05,0.00575829736219943
,ENSSSCG00000050749,7.6305318300273,6.65046328604423e-05,0.00575829736219943
,ENSSSCG00000032135,7.6305318300273,6.65046328604423e-05,0.00575829736219943
,ENSSSCG00000013380,-3.59970092634382,6.98570204715203e-05,0.00600262272878122
CPS1,ENSSSCG00000016159,4.66848797315307,7.03074682222686e-05,0.00600262272878122
,ENSSSCG00000054399,4.66848797315307,7.03074682222686e-05,0.00600262272878122
CPN2,ENSSSCG00000025128,-7.48198334129504,7.08171409993756e-05,0.0060181455564099
,ENSSSCG00000013665,4.64429405116332,7.67576772352903e-05,0.00649292130567276
LRAT,ENSSSCG00000008995,-3.6287040277804,7.95776936739443e-05,0.00666750009027784
,ENSSSCG00000044108,7.57423948849719,7.9911201779316e-05,0.00666750009027784
,ENSSSCG00000062735,7.57423948849719,7.9911201779316e-05,0.00666750009027784
PCDH20,ENSSSCG00000031955,-3.88531163527031,8.23785749901175e-05,0.00680092226144381
VEPH1,ENSSSCG00000011726,4.22770649698601,8.26217947429707e-05,0.00680092226144381
,ENSSSCG00000036948,4.22770649698601,8.26217947429707e-05,0.00680092226144381
CDH17,ENSSSCG00000006106,-3.94406830144113,8.51587373799805e-05,0.00697845438994161
,ENSSSCG00000024474,-4.22297679028885,8.58518190486891e-05,0.00700398217981217
,ENSSSCG00000061606,-7.41199745660826,8.91704384869321e-05,0.0071280817960404
SPMAP2L,ENSSSCG00000032353,-7.41199745660826,8.91704384869321e-05,0.0071280817960404
DLK2,ENSSSCG00000001682,-7.41199745660826,8.91704384869321e-05,0.0071280817960404
,ENSSSCG00000056352,-7.41199745660826,8.91704384869321e-05,0.0071280817960404
CASQ1,ENSSSCG00000006390,-3.60097652348426,8.93146008438272e-05,0.0071280817960404
