,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000008474,0.584093867273453,0.676752493429337,0.30572575005326,0.357150389036577
ENSSSCG00000013463,-0.256380650228886,-0.249583384720443,0.305976117794306,0.357419958379811
ENSSSCG00000041669,0.605160627072478,0.812084486931659,0.306222550620526,0.35768489696888
ENSSSCG00000039550,0.0518863940740494,-0.258814112302175,0.306338266737963,0.357797127028946
ENSSSCG00000046947,0.863372312486855,0.83426806754692,0.306450573719129,0.357905361154666
ENSSSCG00000012448,0.249421967865199,-0.218136563185023,0.306616776416294,0.358076522487058
ENSSSCG00000055576,-1.10236744157452,-0.0339644652469753,0.306688547491901,0.358137388792286
ENSSSCG00000016266,-0.28094106547585,-0.242025982469499,0.306955295335348,0.358425917997782
ENSSSCG00000010972,-0.0113161354427384,-0.285834157971501,0.307164455820233,0.358647170865449
ENSSSCG00000015774,0.058652708916209,-0.690829472631661,0.307276006818603,0.358754433228408
ENSSSCG00000024296,0.48008940782386,0.199157312460004,0.307564145847062,0.359067840737787
ENSSSCG00000015435,0.383147405253207,0.166501873254575,0.307587837697979,0.359072497226825
ENSSSCG00000008396,0.264221132980662,-0.217297989864723,0.307651240651569,0.35912350817539
ENSSSCG00000007780,-0.300529574225738,-0.123286516117667,0.307796073520305,0.359269560227633
ENSSSCG00000007334,-0.114999261379838,0.205599434292752,0.308032797641288,0.359522845152737
ENSSSCG00000028850,-0.218161303192927,0.0858527123448323,0.308152262463328,0.359639246310066
ENSSSCG00000001667,0.00767244817161448,-0.197299100717036,0.30828589595147,0.359772167508939
ENSSSCG00000027307,0.293236644930695,0.326447531949038,0.308332635640348,0.359803672402492
ENSSSCG00000018117,0.41913412215745,0.0679281195152734,0.308380882846021,0.359836932320777
ENSSSCG00000034418,0.51842894575529,0.154456674194574,0.308582674071173,0.360049340692301
ENSSSCG00000025290,-0.27979523672405,-0.021130005970594,0.308619550275676,0.360069313970801
ENSSSCG00000022390,0.843004000769852,0.0755637421821819,0.308898405993274,0.360371586378684
ENSSSCG00000021793,0.23472393271524,-0.0648996733137765,0.308938154373229,0.360394887037365
ENSSSCG00000009998,-0.0958708178778897,0.159378157878694,0.309239432307985,0.360723255097018
ENSSSCG00000013444,-0.124880301641939,-0.247357754522897,0.309337830123444,0.360814939590991
ENSSSCG00000015523,-0.360651298779292,-0.00278609109363094,0.309602593036088,0.361100649951339
ENSSSCG00000033298,-0.326985860910554,-0.266449889043096,0.310179812058606,0.361733728412109
ENSSSCG00000060189,0.546413744376918,-0.141739105480988,0.310185084169009,0.361733728412109
ENSSSCG00000062685,-0.0285160706062886,-0.227265362582787,0.310596593664857,0.362190448102658
ENSSSCG00000004970,-0.313548859990745,-0.102256625240379,0.310796937326688,0.362400882068051
ENSSSCG00000017529,0.16129704066771,-0.163308537349151,0.310910982360048,0.362510668108094
ENSSSCG00000026900,0.378846678550711,0.25424311474567,0.311226301697052,0.362855103456406
ENSSSCG00000000536,-0.264956837407668,-0.460974156557726,0.311532393929057,0.363188737651173
ENSSSCG00000013360,0.040436121784599,0.66386920873463,0.311719470199717,0.363383587598007
ENSSSCG00000062371,-0.214027113332563,0.577242777318497,0.311998009610152,0.36368502796056
ENSSSCG00000010563,0.290512596806219,-0.0352233860270374,0.312139739562424,0.363826966024024
ENSSSCG00000031489,0.0832816635932864,-0.172800359809383,0.312331105088141,0.364026736961262
ENSSSCG00000011705,-0.192626532676759,-0.205824752441793,0.312436379575767,0.364126148326967
ENSSSCG00000017869,0.0835093428846756,-0.245502666969635,0.312469653320889,0.364141639731416
ENSSSCG00000037514,0.293853719931222,1.05399340159356,0.312706198221437,0.364393999385348
ENSSSCG00000032778,-0.427233043679439,-0.242676962645366,0.312977556181426,0.364672111872242
ENSSSCG00000006930,0.145944780849648,-0.118425110737606,0.31298488267086,0.364672111872242
ENSSSCG00000011788,0.0456267353955445,-0.188845567640547,0.313103952338633,0.364787522530319
ENSSSCG00000042897,-0.349702918488697,-0.870139124900544,0.313145855451412,0.364813019864894
ENSSSCG00000038222,-0.180442677282104,-0.249662090041671,0.31351380167575,0.365218327904556
ENSSSCG00000057811,-0.108037971935427,-0.687067757289603,0.313677517474549,0.365385687341399
ENSSSCG00000036114,0.515690782582209,0.105947590232869,0.314058183748621,0.365805722909041
ENSSSCG00000056542,-0.293588988828408,0.0393867526831803,0.314207749876296,0.365956543346687
ENSSSCG00000025430,-0.168646634170746,0.156599770490633,0.314437465008982,0.366179270449425
ENSSSCG00000025981,0.375386616129108,-0.152314474787266,0.314439168308991,0.366179270449425
ENSSSCG00000012939,-0.216013313627199,-0.17627384519798,0.31450053752946,0.366227335203635
ENSSSCG00000041701,-1.21482155205268,-0.686952931830747,0.314561039784914,0.366274384323063
ENSSSCG00000055161,-0.412871206703886,-0.0839129314130157,0.314605028327182,0.366302200117209
ENSSSCG00000026719,-0.166426934084592,-0.273988141442798,0.314905536450401,0.366628665193388
ENSSSCG00000009531,0.17409817792699,0.672013625274138,0.315190722552056,0.366937251040543
ENSSSCG00000024667,0.150293150213599,-0.0849302451289055,0.315295008158701,0.367027188376903
ENSSSCG00000019699,0.255798599009225,-0.216756873846071,0.315308256213169,0.367027188376903
ENSSSCG00000000058,0.166667651359409,-0.0487475145922758,0.315439788606748,0.367139591903039
ENSSSCG00000051779,-0.867200837018897,-0.0632711664057111,0.315445112490002,0.367139591903039
ENSSSCG00000012434,-0.08920853781354,-0.298914155739351,0.31570820149242,0.367422329905988
ENSSSCG00000038970,0.0979963986133546,0.339167395578348,0.315874849176099,0.36759280021617
ENSSSCG00000001235,1.06611102718522,0.537893362858944,0.316162626326774,0.367888743811177
ENSSSCG00000014882,0.271285026536097,0.0402336929928533,0.31616952949795,0.367888743811177
ENSSSCG00000010543,0.632021558232499,0.783010679958063,0.316243546410829,0.36795137520213
ENSSSCG00000011612,0.30395927229038,0.195317668198694,0.316431180041858,0.36814618393021
ENSSSCG00000039046,-0.265061402845997,0.0922826727024602,0.316631370587182,0.368355575970687
ENSSSCG00000009679,-0.374959235505458,-0.462465352242775,0.3166794830809,0.368388031384292
ENSSSCG00000006274,0.222248877374866,-0.0978521286771879,0.317128145070912,0.368886405551305
ENSSSCG00000060910,0.445160962114313,0.856310811428977,0.317193297180413,0.368938642316559
ENSSSCG00000063005,-0.271143874092919,-0.304864183573018,0.317568497606428,0.369351477463753
ENSSSCG00000005893,-0.292579853378895,-0.00964494040611683,0.31771897942499,0.369502915190876
ENSSSCG00000016970,0.105178906283037,-0.15561372658847,0.31778969818612,0.369539890108062
ENSSSCG00000058633,0.527107905282403,0.470811965068787,0.317791327797056,0.369539890108062
ENSSSCG00000008024,0.42092719750256,0.234471673842643,0.318055441682544,0.36982341410213
ENSSSCG00000048108,0.617789393496898,0.0011883159026134,0.318126665116767,0.369882630157455
ENSSSCG00000031838,-0.287589780493768,-0.114158816936895,0.318553401138396,0.370355163148079
ENSSSCG00000024254,0.131955559477845,-0.205964270380969,0.318591234862821,0.370374193258678
ENSSSCG00000028186,0.218169440121948,-0.0272793920907037,0.318610416358444,0.370374193258678
ENSSSCG00000027916,-0.19353335575733,0.0769479022905372,0.31863957139283,0.370384459054914
ENSSSCG00000060304,-0.0857443903575315,-0.377531116403853,0.318755695702831,0.37049580958533
