Gene_name,genes,logFC,PValue,FDR
CLDN22,ENSSSCG00000027901,3.95386067558976,3.01335874118855e-05,0.00228280916401805
,ENSSSCG00000058362,-7.80178380691835,3.08078654208627e-05,0.00231444088974231
BNIP5,ENSSSCG00000001560,-7.80178380691835,3.08078654208627e-05,0.00231444088974231
SLC5A1,ENSSSCG00000010036,3.81401816383375,3.17047108811856e-05,0.00237193334932687
ACSM5,ENSSSCG00000026453,4.63014222371201,3.26371347370467e-05,0.00242602755234206
MDGA1,ENSSSCG00000001582,-4.05690066529945,3.26968771613489e-05,0.00242602755234206
RHOBTB3,ENSSSCG00000029805,3.78235724949622,3.38778150502802e-05,0.00250334838260882
FDPS,ENSSSCG00000006512,3.77813853198726,3.45397851463496e-05,0.00254184622934157
CHL1,ENSSSCG00000011524,3.84691400226476,3.56024863389915e-05,0.00260940174265047
GPT2,ENSSSCG00000002847,3.76460737153642,3.70215753032227e-05,0.002702425112215
,ENSSSCG00000056769,7.71945391149121,3.80799482543099e-05,0.00273796149769882
CRISP2,ENSSSCG00000001736,7.71945391149121,3.80799482543099e-05,0.00273796149769882
,ENSSSCG00000017448,7.71945391149121,3.80799482543099e-05,0.00273796149769882
TAC3,ENSSSCG00000055762,-3.92427418853862,3.81559961498112e-05,0.00273796149769882
DOCK8,ENSSSCG00000005240,3.75777747820234,3.82676814986192e-05,0.00273796149769882
,ENSSSCG00000025413,-4.42564102580967,3.96737025632833e-05,0.00282733935658497
CYP7A1,ENSSSCG00000006238,-4.10016358529119,4.04371327014311e-05,0.00287039961656221
IGSF1,ENSSSCG00000012667,3.79244108014224,4.125344343575e-05,0.00291686111822185
ATP13A4,ENSSSCG00000011821,3.75072215188088,4.34113991707063e-05,0.0030574512775306
,ENSSSCG00000042479,3.92678180100562,4.36034355730027e-05,0.00305902701704762
ARMC12,ENSSSCG00000001550,3.85642625921102,4.40895563565634e-05,0.003077594910092
CD1B,ENSSSCG00000006452,-7.69536586514055,4.42094887251152e-05,0.003077594910092
,ENSSSCG00000053700,7.6631441659141,4.60648866586966e-05,0.00319442271713961
CYP2C49,ENSSSCG00000059716,5.28335232345343,4.66123250566633e-05,0.00322000084586835
PPP4R4,ENSSSCG00000002474,-3.85440579245158,4.74353020293401e-05,0.00326434540301146
ANKRD22,ENSSSCG00000010445,-4.37680100037674,4.77095649903815e-05,0.00327073557709725
,ENSSSCG00000034087,-3.84334995966692,4.83527475589377e-05,0.00329053142643857
HS3ST6,ENSSSCG00000031216,3.85630553473189,4.8363329340334e-05,0.00329053142643857
