Gene stable ID,Gene name
ENSSSCG00000040669,
ENSSSCG00000033426,
ENSSSCG00000039419,SLCO4A1
ENSSSCG00000016725,TNS3
ENSSSCG00000039742,
ENSSSCG00000016992,NEURL1B
ENSSSCG00000034705,
ENSSSCG00000058852,
ENSSSCG00000040565,
ENSSSCG00000035336,
ENSSSCG00000027378,SH3PXD2B
ENSSSCG00000031746,KCNQ2
ENSSSCG00000034188,
ENSSSCG00000056334,
ENSSSCG00000040934,ISX
ENSSSCG00000051553,
ENSSSCG00000053225,
ENSSSCG00000057068,
ENSSSCG00000061714,
ENSSSCG00000042378,
ENSSSCG00000044622,
ENSSSCG00000059194,
ENSSSCG00000052697,
ENSSSCG00000045466,
ENSSSCG00000031240,U1
ENSSSCG00000038223,SNORA76
ENSSSCG00000031684,U6
ENSSSCG00000025780,HMGXB4
ENSSSCG00000038943,TOM1
ENSSSCG00000046549,
ENSSSCG00000023948,UBTD2
ENSSSCG00000033946,
ENSSSCG00000054171,
ENSSSCG00000016995,EFCAB9
ENSSSCG00000039745,HMOX1
ENSSSCG00000022478,STK10
ENSSSCG00000022912,NT5C3A
ENSSSCG00000034173,GID8
ENSSSCG00000031155,
ENSSSCG00000062740,
ENSSSCG00000048848,
ENSSSCG00000052237,
ENSSSCG00000022823,MCM5
ENSSSCG00000033588,U6
ENSSSCG00000023307,FBXW11
ENSSSCG00000021250,FKBP9
ENSSSCG00000040931,SLC17A9
ENSSSCG00000055349,
ENSSSCG00000040086,YTHDF1
ENSSSCG00000050151,
ENSSSCG00000038919,RP9
ENSSSCG00000022464,KBTBD2
ENSSSCG00000033676,
ENSSSCG00000038278,NTSR1
ENSSSCG00000048034,
ENSSSCG00000023445,AVL9
ENSSSCG00000023757,
ENSSSCG00000044666,
ENSSSCG00000038578,HRH3
ENSSSCG00000021229,MAT2B
ENSSSCG00000038718,ADRM1
ENSSSCG00000047223,
ENSSSCG00000043449,
ENSSSCG00000059080,
ENSSSCG00000026064,LSM5
ENSSSCG00000017022,HMMR
ENSSSCG00000016668,PDE1C
ENSSSCG00000032761,LAMA5
ENSSSCG00000055488,
ENSSSCG00000049224,
ENSSSCG00000032806,NUDCD2
ENSSSCG00000017024,CCNG1
ENSSSCG00000013412,
ENSSSCG00000063509,
ENSSSCG00000043045,
ENSSSCG00000033011,
ENSSSCG00000036409,
ENSSSCG00000044507,
ENSSSCG00000025951,
ENSSSCG00000033783,
ENSSSCG00000059763,
ENSSSCG00000001297,
ENSSSCG00000016998,NPM1
ENSSSCG00000055260,
ENSSSCG00000062631,
ENSSSCG00000040741,
ENSSSCG00000041126,
ENSSSCG00000038566,
ENSSSCG00000032388,
ENSSSCG00000046976,
ENSSSCG00000052514,
ENSSSCG00000016671,ITPRID1
ENSSSCG00000031178,
ENSSSCG00000050175,
ENSSSCG00000039011,U6
ENSSSCG00000058963,
ENSSSCG00000037366,
ENSSSCG00000044493,
ENSSSCG00000060886,
ENSSSCG00000050417,
ENSSSCG00000037012,
ENSSSCG00000061398,
ENSSSCG00000031945,
ENSSSCG00000016999,TLX3
ENSSSCG00000035235,U6
ENSSSCG00000040589,
ENSSSCG00000035113,U6
ENSSSCG00000039501,NEUROD6
ENSSSCG00000017000,RANBP17
ENSSSCG00000036680,
ENSSSCG00000016672,ADCYAP1R1
ENSSSCG00000043495,
ENSSSCG00000021902,GABRP
ENSSSCG00000021825,RPS21
ENSSSCG00000017003,KCNIP1
ENSSSCG00000016698,HOXA11
ENSSSCG00000007540,CABLES2
ENSSSCG00000021204,HOXA10
ENSSSCG00000007539,RBBP8NL
ENSSSCG00000028997,HOXA9
ENSSSCG00000036974,
ENSSSCG00000042856,
ENSSSCG00000059805,
ENSSSCG00000039212,MYT1
ENSSSCG00000017005,KCNMB1
ENSSSCG00000016701,HOXA7
ENSSSCG00000052953,
ENSSSCG00000017006,LCP2
ENSSSCG00000016703,HOXA5
ENSSSCG00000016704,
ENSSSCG00000035470,SNORA76
ENSSSCG00000016705,HOXA3
ENSSSCG00000035685,
ENSSSCG00000051265,C5orf58
ENSSSCG00000017008,DOCK2
ENSSSCG00000053375,
ENSSSCG00000016706,HOXA2
ENSSSCG00000008671,
ENSSSCG00000038617,PCMTD2
ENSSSCG00000016707,HOXA1
ENSSSCG00000035851,
ENSSSCG00000016708,SKAP2
ENSSSCG00000053677,MRGBP
ENSSSCG00000037598,SNX10
ENSSSCG00000036835,OSBPL2
ENSSSCG00000016711,CBX3
