Gene_name,genes,logFC,PValue,FDR
,ENSSSCG00000060988,-6.0766546061886,2.96388607475482e-07,2.85323432796398e-05
RXFP2,ENSSSCG00000009336,-6.0766546061886,2.96388607475482e-07,2.85323432796398e-05
DPP6,ENSSSCG00000016423,-9.24100496067829,3.02025022548866e-07,2.89143071310871e-05
STRIP2,ENSSSCG00000016567,-4.96698041942759,3.18598037765784e-07,3.03333340571731e-05
UGT8,ENSSSCG00000031904,4.98115849994591,3.29546066081984e-07,3.12042307817957e-05
SCN1A,ENSSSCG00000024204,-5.20611648485501,3.38626784071446e-07,3.1889809317337e-05
FOXJ1,ENSSSCG00000017187,-5.28647718595015,3.41675201202439e-07,3.20029615483019e-05
,ENSSSCG00000060492,-9.2071143958958,3.44661794578799e-07,3.20418720394289e-05
ADHFE1,ENSSSCG00000006213,4.97798966769311,3.45788900702516e-07,3.20418720394289e-05
DHRS4,ENSSSCG00000002013,4.89701468185399,3.66445743445139e-07,3.3775382140518e-05
CRLF1,ENSSSCG00000013909,-9.17240851160513,3.94421782588739e-07,3.6003600836538e-05
,ENSSSCG00000053050,8.80394789279122,3.94776324962039e-07,3.6003600836538e-05
HMCN2,ENSSSCG00000005699,-5.39173297964117,4.06788786088524e-07,3.67227543051979e-05
SLPI,ENSSSCG00000039573,-4.95473376309925,4.06900324711334e-07,3.67227543051979e-05
,ENSSSCG00000044295,-9.15473737831859,4.22394009378145e-07,3.79235409041683e-05
,ENSSSCG00000057979,8.77364292116396,4.45069642530466e-07,3.9753436936948e-05
ODAPH,ENSSSCG00000034870,5.55367424813316,4.52629000529963e-07,3.98181731092463e-05
GABRR1,ENSSSCG00000024249,-9.13684710979398,4.52688140727234e-07,3.98181731092463e-05
GABRP,ENSSSCG00000021902,-9.13684710979398,4.52688140727234e-07,3.98181731092463e-05
ACSS2,ENSSSCG00000007286,4.84777903711577,4.63258452233092e-07,4.05421336378537e-05
FBN2,ENSSSCG00000014256,-4.8533783929033,4.67838032362269e-07,4.07364535714632e-05
DGAT2,ENSSSCG00000034102,5.07574072092975,4.70180673724183e-07,4.07364535714632e-05
ACSM4,ENSSSCG00000030033,5.20579507093885,4.80596614628225e-07,4.14317320312332e-05
RUNDC3A,ENSSSCG00000017359,4.8937298287526,5.18244690966878e-07,4.44561584409607e-05
NPY5R,ENSSSCG00000008889,-4.89627969259157,5.3318337023601e-07,4.55123223618206e-05
IGFBP3,ENSSSCG00000058216,4.79281276890121,5.6362663726172e-07,4.7875109659172e-05
,ENSSSCG00000058946,8.71105366671156,5.69645317230676e-07,4.81503124730397e-05
,ENSSSCG00000051948,-5.91451313025574,5.72829827123022e-07,4.8184442933921e-05
EFS,ENSSSCG00000002026,-4.99417179444923,5.89189798595662e-07,4.93211634302688e-05
MCIDAS,ENSSSCG00000036183,-9.06298140463389,6.01889634168852e-07,5.01420364465282e-05
ATP6V0D2,ENSSSCG00000006138,5.17954844258296,6.29361681295737e-07,5.21798048492465e-05
LEPR,ENSSSCG00000025188,4.80678124413577,6.39184821429792e-07,5.27418789796925e-05
,ENSSSCG00000041649,8.67871042772155,6.46820314322062e-07,5.2868407578173e-05
,ENSSSCG00000046312,8.67871042772155,6.46820314322062e-07,5.2868407578173e-05
SDCBP2,ENSSSCG00000007189,-4.81293225014866,6.58704601989947e-07,5.33726650999996e-05
KBTBD13,ENSSSCG00000035667,-5.87977750454026,6.59149949873033e-07,5.33726650999996e-05
DCLK1,ENSSSCG00000033919,-4.74736584041442,7.10414310693379e-07,5.72560891892784e-05
L1CAM,ENSSSCG00000012787,4.74404163091201,7.33655100075679e-07,5.85291502380942e-05
BMP15,ENSSSCG00000012310,-5.14010427975187,7.34474369393291e-07,5.85291502380942e-05
,ENSSSCG00000048042,8.64562543695481,7.3634318743678e-07,5.85291502380942e-05
PROM2,ENSSSCG00000008118,-6.36967458777936,7.6199763549949e-07,6.02917581184254e-05
,ENSSSCG00000013976,4.9013028420059,7.69956472579889e-07,6.04252836902577e-05
F2RL1,ENSSSCG00000014091,-4.75604808234169,7.70659493048647e-07,6.04252836902577e-05
ADAM23,ENSSSCG00000016131,-4.99915577255526,7.98340417297831e-07,6.23137060853009e-05
GLP2R,ENSSSCG00000017998,-8.98512874038265,8.11048874014654e-07,6.30217708023584e-05
