,ovary00.txt,ovary15.txt
ENSSSCG00000004105,4.29932203137476,3.82122600659878
ENSSSCG00000004405,4.87395979673883,4.52611056305357
ENSSSCG00000004071,4.0244690679405,3.23081971266159
ENSSSCG00000046319,-0.0942848411523603,2.09071926139713
ENSSSCG00000026042,-0.197111111297141,1.27684158377005
ENSSSCG00000004096,-2.35353914258208,-1.05109895261415
ENSSSCG00000004113,3.9452080286913,4.62869112237039
ENSSSCG00000004404,1.36736042389259,-0.099944772166887
ENSSSCG00000004403,3.34366276604873,3.25720214167086
ENSSSCG00000004402,1.75936592458881,-0.270356767513845
ENSSSCG00000004401,1.61508109127713,0.394222383726887
ENSSSCG00000037803,8.65642277267176,8.26213691502603
ENSSSCG00000004388,2.68127341116232,1.87598835952372
ENSSSCG00000004390,7.15918909790218,5.10169317119707
ENSSSCG00000004114,1.90300673649331,1.88954414558342
ENSSSCG00000004391,0.600940626514534,1.12467181596307
ENSSSCG00000052303,3.88355458961438,5.73395198172367
ENSSSCG00000032525,0.404229827897419,4.45038772782942
ENSSSCG00000004415,1.85241293647016,0.954538444486132
ENSSSCG00000033578,-3.90436408197986,-0.769662603885812
ENSSSCG00000004414,8.43107183990768,9.18178604043811
ENSSSCG00000004120,3.95722873618247,4.62261598804774
ENSSSCG00000004413,0.774019952686976,-0.857512777410536
ENSSSCG00000004121,5.2524448226176,5.73864084909682
ENSSSCG00000004408,4.23412595621928,4.37288403285395
ENSSSCG00000004412,6.56673898615882,6.41287113372707
ENSSSCG00000031536,4.04150653281186,3.54106298739263
ENSSSCG00000004081,3.42381511967853,2.89676267808654
ENSSSCG00000004411,3.61045256834865,3.80700960155024
ENSSSCG00000033392,-0.702440707070355,1.2973268126907
ENSSSCG00000049158,2.61452935675508,2.45217450655689
ENSSSCG00000004382,7.36240268480928,7.43472795402323
ENSSSCG00000004082,8.10786617357524,6.96080464867507
ENSSSCG00000004383,5.37175607083929,6.94709503513153
ENSSSCG00000004384,-2.13361630899072,0.275340820847336
ENSSSCG00000004385,6.85833281466041,7.45737612004175
ENSSSCG00000040199,2.51231982856195,3.18757788410081
ENSSSCG00000004387,6.53149595177817,6.08784879329709
ENSSSCG00000025777,5.40504864884611,3.35815673511607
ENSSSCG00000004432,6.52444383652941,7.02746406033479
ENSSSCG00000004434,-0.42776301086752,-1.15859359858639
ENSSSCG00000037424,4.19151170660444,4.43890905192797
ENSSSCG00000004392,6.37787686752301,7.0547934831559
ENSSSCG00000004393,5.77804611233327,5.33755673330834
ENSSSCG00000004394,4.73424675379366,5.13052129987992
ENSSSCG00000004419,0.538303901077548,0.790814638757884
ENSSSCG00000041409,2.02223394439899,1.59079513295462
ENSSSCG00000025703,5.82881610844892,5.10895438745444
ENSSSCG00000004420,5.49952372897345,5.19335255874715
ENSSSCG00000004421,5.6726336015288,5.91386907822581
ENSSSCG00000004422,0.332210998123368,-2.05864991297721
ENSSSCG00000004094,0.294806935074823,-0.608545817565416
ENSSSCG00000004423,2.08931032257582,1.02992193130381
ENSSSCG00000035574,-1.04201184494041,0.902001561225449
ENSSSCG00000036621,-2.35353914258208,-1.05109895261415
ENSSSCG00000004425,7.10450454384052,7.39637037469878
ENSSSCG00000024361,3.82571988239677,4.16566355385475
ENSSSCG00000004065,4.97791970299627,4.70158719420707
ENSSSCG00000004070,5.78565005528442,5.60122414093287
